verbatim_name,edited_name,edit_note,edit_reference
[Asterolecanium coronatum](http://www.google.com/search?q=Asterolecanium+coronatum),Asterolecanium coronatum,not resolved by GNA,http://hbs.bishopmuseum.org/pubs-online/pdf/iom6-7.pdf
[Nysius pulchellus](http://www.google.com/search?q=Nysius+pulchellus),,,iom7-4
[Brachyplatys insularis](http://www.google.com/search?q=Brachyplatys+insularis),,,iom7-7pent
[Artocarpus altitis](http://www.google.com/search?q=Artocarpus+altitis) ,,,mispelling: *Artocarpus altiiis*
[Rhabdoscelus asperipennis](http://www.google.com/search?q=Rhabdoscelus+asperipennis) ,,,"https://scholarspace.manoa.hawaii.edu/bitstream/10125/10905/1/19_77-82.pdf Very interesting article about massive destruction of coconuts on Guam by *Rhabdoscelus* weevils. *Rhabdosculus asperipennis* Fairmaire 1878 (Fairmaire, 1878, Pet. Nouv. Ent. 2:282) Descibed from Palau."
[Swezeyia zephyrus](http://www.google.com/search?q=Swezeyia+zephyrus) ,,,iom6-3
[Protalebrella braziliensis](http://www.google.com/search?q=Protalebrella+braziliensis) ,,,mispelling: *Protalabrella brasiliensis*
[Karnyothrips melaleuca](http://www.google.com/search?q=Karnyothrips+melaleuca) ,,,mispelling: *Karnyothrips melaleucus*
[Trigonops hirsuta](http://www.google.com/search?q=Trigonops+hirsuta) ,,,"*Trigonops hirsuta* Zimmerman,Bishop Mus. Bull. 172: 87, pi. 1, D, 1942. Volume 172. 1942. Insects of Guam–I. Swezey, O. and others. 218 pp."
[Trigonops inusitata](http://www.google.com/search?q=Trigonops+inusitata) ,,,"*Trigonops inusitata* Zimmerman,Bishop Mus. Bull. 172: 87, pi. 1, D, 1942. Volume 172. 1942. Insects of Guam–I. Swezey, O. and others. 218 pp."
[Aulacophora flavomarginata](http://www.google.com/search?q=Aulacophora+flavomarginata) ,,,iom17-1
[Epilachna vigintisexpunctata philippensis](http://www.google.com/search?q=Epilachna+vigintisexpunctata+philippensis),,,"Synonym of *Henosepilachna vigintisexpunctata* (Boisduval, 1835)"
[Chloriona formosella](http://www.google.com/search?q=Chloriona+formosella) ,,,iom6-3
[Grammarodes geometrica](http://www.google.com/search?q=Grammarodes+geometrica) ,,,mispelling: *Grammodes geometrica*
[Oxycephala spaethi](http://www.google.com/search?q=Oxycephala+spaethi) ,,,iom17-1
[Batrachomorphus atrifrons](http://www.google.com/search?q=Batrachomorphus+atrifrons) ,,,iom6-5
[Trissodoris guamensis](http://www.google.com/search?q=Trissodoris+guamensis),,," Shine,  C.,  J.K.  Reaser,  and  A.T.  Gutierrez.  (eds.).  2003.  Invasive  alien  species  in  the  Austral Pacific   Region:   National   Reports   &   Directory   of   Resources.   Global   Invasive   Species Programme, Cape Town, South Africa. [PDF](http://www.issg.org/pdf/publications/GISP/Resources/AP-1.pdf) "
[Nanyozo viridipictus](http://www.google.com/search?q=Nanyozo+viridipictus) ,,,"Possibly *Nanyozo viridilineatus* Kono, 1942 ??? KONO, Hiromichi 1942, Die Rüsselkäfer auf den Micronesien. INSECTA MATSUMURANA, 16(1-2): 13-21. [PDF](http://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/9483/1/16(1-2)_p13-21.pdf) Described from specimens collected on Chuuk and Jaluit."
[Pachyzancla nipponalis](http://www.google.com/search?q=Pachyzancla+nipponalis) ,,,"http://www.cybertruffle.org.uk/cgi-bin/nome.pl?organism=161148&glo=eng mispelling???: *Pachyzancia hipponalis* Walker [basionym] accepted name???: *Psara hipponalis*"
[Trigonops vulgaris](http://www.google.com/search?q=Trigonops+vulgaris) ,,, "*Trigonops vulgaris* Zimmerman,Bishop Mus. Bull. 172: 87, pi. 1, D, 1942. Volume 172. 1942. Insects of Guam–I. Swezey, O. and others. 218 pp."
[Psophocarpus tetragonalubus](http://www.google.com/search?q=Psophocarpus+tetragonalubus) ,,, mispelling: *Psophocarpus tetragonolobus*
